ID,Smiles,Mass_max,Mass_min,Mass_ave,Charge_max,Charge_min,Charge_ave,Epsilon_max,Epsilon_min,Epsilon_ave,Sigma_max,Sigma_min,Sigma_ave,K_bond_max,K_bond_min,K_bond_ave,R0_max,R0_min,R0_ave,K_ang_max,K_ang_min,K_ang_ave,Theta0_max,Theta0_min,Theta0_ave,K_dih_max,K_dih_min,K_dih_ave
PI1,*CC*,12.011,1.008,4.675666666666667,0.02665298639455785,-0.0533059727891157,-5.782411586589357e-19,0.1078,0.0208,0.04980000000000001,3.397709531243626,2.600176998764394,2.866021176257471,379.47,218.51,325.8166666666668,1.556,1.095,1.2486666666666668,72.002,38.78,48.657000000000004,114.79,88.4,109.42333333333333,0.15555555555555556,0.15555555555555556,0.15555555555555559
PI2,*C(C*)C,12.011,1.008,4.6756666666666655,0.030004893462103173,-0.06248970318471364,7.709882115452476e-19,0.1078,0.0208,0.049800000000000004,3.397709531243626,2.600176998764394,2.866021176257471,379.47,218.51,326.68000000000006,1.556,1.095,1.2466666666666668,72.002,38.78,49.10316666666667,118.7,88.4,109.83611111111111,0.15555555555555556,0.12,0.15160493827160496
PI3,*C(C*)CC,12.011,1.008,4.6756666666666655,0.03027830866666213,-0.06511783177869722,3.1803263726241462e-18,0.1078,0.0208,0.04979999999999999,3.397709531243626,2.600176998764394,2.866021176257471,379.47,218.51,327.04,1.556,1.095,1.246,72.002,38.78,48.953250000000004,118.7,88.4,109.80291666666669,0.15555555555555556,0.08,0.14555555555555555
PI4,*C(C*)CCC,12.011,1.008,4.675666666666668,0.030288305264484634,-0.06537224893758892,-9.251858538542971e-19,0.1078,0.0208,0.049799999999999976,3.397709531243626,2.600176998764394,2.8660211762574717,379.47,218.51,327.25600000000003,1.556,1.095,1.2456,72.002,38.78,48.86633333333334,118.7,88.4,109.78533333333333,0.15555555555555556,0.08,0.13599999999999998
PI5,*C(C*)C(C)C,12.011,1.008,4.675666666666668,0.030552934745726717,-0.06250847173436769,-3.0068540250264657e-18,0.1078,0.0208,0.049799999999999976,3.397709531243626,2.600176998764394,2.8660211762574717,379.47,218.51,327.2560000000001,1.556,1.095,1.2456,72.002,38.78,49.20383333333333,118.7,88.4,109.766,0.15555555555555556,0.08,0.13659259259259257
PI6,*C(C*)CCCC,12.011,1.008,4.675666666666667,0.030288473062059708,-0.0653822096108213,5.782411586589357e-19,0.1078,0.0208,0.04979999999999998,3.397709531243626,2.600176998764394,2.866021176257471,379.47,218.51,327.40000000000003,1.556,1.095,1.2453333333333334,72.002,38.78,48.80838888888889,118.7,88.4,109.77361111111111,0.29,0.08,0.1335185185185185
PI7,*C(C*)CC(C)C,12.011,1.008,4.675666666666667,0.030298373000341383,-0.06276343658974916,-1.3492293702041833e-18,0.1078,0.0208,0.04979999999999998,3.397709531243626,2.600176998764394,2.866021176257471,379.47,218.51,327.40000000000003,1.556,1.095,1.2453333333333334,72.002,38.78,49.09216666666667,118.7,88.4,109.75944444444445,0.15555555555555556,0.08,0.12518518518518518
PI8,*C(C*)CCCCC,12.011,1.008,4.675666666666666,0.030288474390878225,-0.0653823818350886,1.4869058365515489e-18,0.1078,0.0208,0.04979999999999999,3.397709531243626,2.600176998764394,2.866021176257471,379.47,218.51,327.5028571428572,1.556,1.095,1.245142857142857,72.002,38.78,48.766999999999996,118.7,88.4,109.76523809523808,0.29,0.08,0.13174603174603172
PI10,*C(C*)CCC(CC)C,12.011,1.008,4.6756666666666655,0.030288643600752747,-0.06512829910146153,0.0,0.1078,0.0208,0.04979999999999999,3.397709531243626,2.600176998764394,2.8660211762574708,379.47,218.51,327.58000000000004,1.556,1.095,1.2449999999999999,72.002,38.78,48.94879166666667,118.7,88.4,109.74833333333333,0.29,0.08,0.13055555555555554
PI505,*CC(*)(CC(=O)OCCC)C(=O)OCCC,15.999,1.008,6.492757575757577,0.3122387430626574,-0.46565921914786923,5.887546342709164e-18,0.1463,0.0208,0.06,3.397709531243626,2.4219972551363265,2.9002640833510833,652.57,218.51,347.38878787878787,1.556,1.095,1.2614848484848482,114.822,38.78,56.14087096774194,135.16,85.09,109.67967741935482,3.18,0.0,0.298483660130719
PI506,*CC(*)C(=O)OCCO,15.999,1.008,7.257249999999999,0.3085633926024791,-0.463026207505321,8.673617379884035e-18,0.1463,0.0047,0.0620125,3.397709531243626,0.5379246460131368,2.773724069058132,652.57,218.51,356.32437500000003,1.556,0.973,1.267375,114.822,38.78,59.83668965517241,135.16,85.09,108.47793103448276,2.7,0.0,0.30792411924119245
PI507,*CC(*)(CCC(C)C(=O)OC)C(=O)OC,15.999,1.008,6.6744666666666665,0.31136554823466694,-0.46879946867533856,-4.163336342344337e-18,0.1463,0.0208,0.06101999999999999,3.397709531243626,2.4219972551363265,2.8918097244852397,652.57,218.51,349.3156666666666,1.556,1.095,1.263233333333333,114.822,38.78,56.94289285714286,135.16,85.09,109.90107142857143,3.18,0.0,0.30774853801169594
