"Note: 1) 104 polymers sorted by calculated thermal conductivity; 2) All data was generated using the RadonPy Toolkit, more details can be found in the RandonPy associated literature (Y. Hayashi, J. Shiomi, J. Morikawa, R. Yoshida, npj Comput Mater 2022, 8, 1–15.). 3) If you want to use the following data, please cite the references of our work and the RandonPy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SMILES,thermal_conductivity,TC_ke,TC_pe,TC_pair,TC_bond,TC_angle,TC_dihed,TC_improper,TC_kspace,TC_fix,density,Rg,self-diffusion,Cp,Cv,compressibility,isentropic_compressibility,bulk_modulus,isentropic_bulk_modulus,volume_expansion,linear_expansion,r2,static_dielectric_const,nematic_order_parameter,qm_polarizability,qm_polarizability_xx,qm_polarizability_yy,qm_polarizability_zz,qm_polarizability_xy,qm_polarizability_xz,qm_polarizability_yz,MW,Refractive_index
AP1,[*]C#CC=C[*],1.07244839,0.019432165,0.016851946,0.066421501,0.608453334,0.29270679,0.068116669,0,0.000465984,0,0.968367928,119.7272027,8.28E-13,2937.113523,2745.197435,5.32E-10,4.97E-10,1880490128,2011910507,0.000573715,1.91E-04,1084.783845,1.03002789,0.088460824,7.318059072,10.13306173,5.709027509,6.112087981,-2.435517825,1.172097068,-0.226326626,50.06,1.632888998
AP2,[*]c1ccc2cc(-c3nc4cc5nc([*])[nH]c5cc4[nH]3)ccc2c1,0.974000513,0.019765622,-0.018415298,0.063067229,0.426708714,0.308584641,0.156029391,0.002543968,0.015716246,0,1.198871282,79.44397483,1.02E-12,2985.160398,2981.509363,3.58E-10,3.58E-10,2794860124,2798822204,0.0000325,1.08E-05,537.1226678,1.445899869,0.083878459,39.70615656,67.37624827,33.96892653,17.77329487,-0.232610395,-2.846749804,-1.120377894,282.32,1.79454937
AP3,[*]C=Cc1ccc(C=Cc2nc3cc4nc([*])[nH]c4cc3[nH]2)cc1,0.892835967,0.041432345,-0.012209836,0.070374478,0.366233276,0.245638326,0.188376865,0.002042843,-0.009052331,0,1.081761598,84.30811631,3.75E-12,4438.61246,3452.459846,1.68E-09,1.30E-09,597320753.8,767908115.4,-0.002447388,-8.16E-04,629.132325,1.628784912,0.116898,46.52127028,87.50634238,33.36595542,18.69151305,-0.191218575,-2.161943428,-1.651566205,284.34,1.849238735
AP4,[*]c1ccc(-c2ccc(-c3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,0.809927871,0.024644864,0.004096559,0.089684215,0.346730631,0.171268259,0.171941773,0.001624764,-6.32E-05,0,1.134605678,76.32546416,7.68E-13,2630.868468,2569.365285,4.20E-10,4.10E-10,2394842963,2451126980,0.000311313,1.04E-04,401.0133927,1.189750431,0.06391648,56.52674793,92.25479213,33.43964469,43.88580697,-0.968173937,-3.305506161,-8.847169656,442.44,1.652079466
AP5,[*]c1ccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)cc1,0.800303643,0.015484201,-0.039677901,0.040180739,0.344126455,0.280622553,0.152467481,0.00162473,0.005475386,0,1.235937903,78.96764951,6.60E-14,2532.869926,2513.477599,2.38E-10,2.37E-10,4193553041,4225900185,0.000137944,4.60E-05,529.851412,1.543764057,0.053793526,30.74640105,50.63851503,16.03307054,25.56761757,2.139883967,0.202094932,3.960991858,232.26,1.763037187
AP6,[*]c1ccc(-c2ccc(-c3nc4cc5nc([*])oc5cc4o3)cc2)cc1,0.728755314,0.006690757,-0.00037361,0.050317728,0.233376426,0.256706475,0.173775131,0.002382396,0.005880011,0,1.167443753,65.9571242,8.60E-13,2547.434921,2538.757896,4.31E-10,4.30E-10,2319304435,2327236018,0.000120319,4.01E-05,267.3880419,1.095173627,0.091094592,41.48031156,71.08503043,28.54611648,24.80978778,0.384590704,-1.922483508,6.063823227,310.32,1.716863056
AP7,[*]c1ccc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)cc1,0.725028613,0.033803733,-0.024633689,0.068864742,0.29777743,0.198695975,0.145482783,0.000310875,0.004726765,0,1.292978014,70.87732319,5.68E-13,2594.884079,2460.604691,4.06E-10,3.84E-10,2534183872,2670175535,0.000483157,1.61E-04,432.4720049,1.313625168,0.070470922,31.68819476,46.28102988,17.48967057,31.29388382,1.165237045,0.044699414,2.17492708,290.24,1.63067535
AP8,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.676547862,0.017717914,-0.003475431,0.079606116,0.31856596,0.149973998,0.101741342,0.000590679,0.011827282,0,1.23077323,76.19899992,7.74E-13,2450.394866,2448.933418,4.84E-10,4.83E-10,2067515037,2068755943,0.0000479,1.60E-05,542.9684229,1.254171104,0.100698102,43.83778919,68.33417587,41.09256874,22.08662296,-2.732284269,0.264580246,1.459093488,366.34,1.66535863
AP9,[*]c1ccc2[nH]c([*])nc2c1,0.618599103,0.012775702,-0.015703664,0.060467226,0.263455335,0.216168533,0.070507215,0.001495177,0.00943358,0,1.278170039,36.26642305,1.88E-13,2662.280726,2635.869371,2.41E-10,2.39E-10,4151946635,4193475446,0.000164053,5.47E-05,96.46236633,1.44226486,0.08527084,13.76198437,17.70141831,11.4972749,12.0872599,-0.922884698,-1.609395747,3.789981333,116.13,1.689695183
AP10,[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)c(O)c1,0.618033485,0.011369389,-0.010719011,0.065938931,0.226240887,0.194467862,0.123345484,0.001378175,0.006011769,0,1.256047802,72.3842399,1.20E-12,2453.726379,2423.597458,6.91E-10,6.83E-10,1456255018,1473046771,-0.000279673,-9.32E-05,395.3559422,1.346606393,0.091429498,29.59212442,47.06023458,26.98750953,14.72862916,-3.571929172,4.924911857,-1.671124806,250.22,1.672663672
