ID,SMILES,TC,VDW,MW,Monomer_length,MW_ratio
PI1,*CC*,0.456184962,40.52,28.06,2.58,1.0
PI2,*C(C*)C,0.25877338,57.82,42.09,2.6,0.667
PI3,*C(C*)CC,0.264363289,75.12,56.12,2.65,0.5
PI4,*C(C*)CCC,0.261130695,92.42,70.14999999999999,2.59,0.4
PI5,*C(C*)C(C)C,0.234342233,92.42,70.14999999999999,2.76,0.4
PI6,*C(C*)CCCC,0.275330549,109.72,84.18,2.64,0.333
PI7,*C(C*)CC(C)C,0.240918065,109.72,84.18,2.61,0.333
PI8,*C(C*)CCCCC,0.27463839,127.02,98.21,2.6,0.286
PI10,*C(C*)CCC(CC)C,0.265949678,144.32,112.24,2.61,0.25
PI505,*CC(*)(CC(=O)OCCC)C(=O)OCCC,0.225769616,226.1,214.29,2.65,0.131
PI506,*CC(*)C(=O)OCCO,0.297878745,116.15,116.13,2.56,0.242
PI507,*CC(*)(CCC(C)C(=O)OC)C(=O)OC,0.238137173,208.8,200.26,2.64,0.14
PI508,*CC(*)C(=O)OC1CCCCCCCCCCC1,0.24545563199999998,268.0,238.41,2.52,0.118
PI509,*C(C*)Cl,0.142730624,55.73,62.5,2.63,1.0
PI510,*C(C*)(F)F,0.148188116,52.66,64.03999999999999,2.49,1.0
PI511,*CC(*)(Cl)Cl,0.096200541,70.94,96.94,2.51,1.0
PI512,*C(F)C(*)(F)F,0.14138687,58.73,82.03,2.52,1.0
PI513,*C(F)(F)C(F)(F)*,0.19501973,64.8,100.02,2.84,1.0
PI514,*C(C(*)(F)F)(Cl)F,0.11992224300000001,73.94,116.47,5.7,1.0
PI515,*CCC=C(*)Cl,0.156164169,87.69,88.53999999999999,4.89,1.0
PI1041,*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,0.189395669,516.83,652.48,20.05,0.743
PI1042,*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(C8(c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9)CCCCCCCCCCC8)cc7)cc6C5=O)cc4)cc3C)c(C)c2)cc1,0.271126559,942.96,1005.24,37.85,0.972
PI1043,*c1ccc(Cc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCCCCCCCCCC6)cc5)cc4C3=O)cc2)cc1,0.23461646600000002,762.84,807.01,26.34,1.0
PI1044,*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCCCCCCCCCC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,0.253157391,904.94,957.2,34.71,0.941
PI1047,*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)CCC(C(C)(C)C)CC3)cc2)cc1,0.254842041,1069.0,1115.46,38.2,0.95
PI1048,*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCCCCCCCCCC9)cc8)cc7C6=O)cc5)cc4)C4CC5CC(C4)CC3C5)cc2)cc1,0.23820149999999998,1034.56,1111.42,38.95,1.0
PI1049,*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O,0.182668971,606.66,750.63,27.91,0.819
PI1050,*c1ccc(Oc2ccc3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3c2)cc1,0.28986347100000004,423.92,524.5,23.01,1.0
PI1051,*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,0.12277938099999999,752.6,1050.62,14.64,0.394
PI1052,*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,0.130279594,717.09,982.62,15.92,0.422
